Date,Year,Revenue,Quantity Sold,ModelID,ChannelID,CountryID
01/01/2019,2019.0,94654.0,2.0,15,3,4
01/01/2019,2019.0,111259.0,1.0,11,3,2
02/01/2019,2019.0,94881.0,3.0,6,3,21
04/01/2019,2019.0,35293.0,4.0,15,3,9
04/01/2019,2019.0,76275.0,5.0,9,3,8
05/01/2019,2019.0,74929.0,3.0,26,3,9
06/01/2019,2019.0,82563.0,4.0,8,1,22
07/01/2019,2019.0,71767.0,3.0,7,3,21
07/01/2019,2019.0,67202.0,4.0,26,3,3
07/01/2019,2019.0,82195.0,5.0,23,3,8
08/01/2019,2019.0,106309.0,3.0,17,3,13
08/01/2019,2019.0,35983.0,4.0,10,3,14
08/01/2019,2019.0,74863.0,1.0,19,1,23
09/01/2019,2019.0,59157.0,2.0,5,1,17
09/01/2019,2019.0,59493.0,4.0,19,3,18
10/01/2019,2019.0,89019.0,4.0,12,1,13
10/01/2019,2019.0,113748.0,4.0,8,3,17
10/01/2019,2019.0,68568.0,3.0,8,3,16
11/01/2019,2019.0,118264.0,2.0,11,3,11
12/01/2019,2019.0,78586.0,3.0,14,3,14
12/01/2019,2019.0,44063.0,4.0,11,3,17
12/01/2019,2019.0,82810.0,4.0,2,1,19
13/01/2019,2019.0,99626.0,2.0,11,3,8
13/01/2019,2019.0,118393.0,1.0,18,3,18
14/01/2019,2019.0,93737.0,3.0,23,1,6
15/01/2019,2019.0,101997.0,1.0,13,3,22
15/01/2019,2019.0,107838.0,4.0,14,1,2
15/01/2019,2019.0,53877.0,4.0,6,1,9
16/01/2019,2019.0,73420.0,5.0,25,3,20
16/01/2019,2019.0,112782.0,5.0,9,1,23
16/01/2019,2019.0,100875.0,1.0,25,3,6
16/01/2019,2019.0,55094.0,5.0,24,1,7
17/01/2019,2019.0,104500.0,2.0,19,3,14
17/01/2019,2019.0,60373.0,1.0,10,3,22
17/01/2019,2019.0,53898.0,5.0,8,3,1
17/01/2019,2019.0,77937.0,5.0,2,1,20
18/01/2019,2019.0,66388.0,2.0,22,3,6
18/01/2019,2019.0,118627.0,2.0,5,1,17
18/01/2019,2019.0,112462.0,1.0,5,3,1
19/01/2019,2019.0,64030.0,3.0,21,1,1
19/01/2019,2019.0,91913.0,2.0,22,3,19
19/01/2019,2019.0,53184.0,5.0,5,1,17
19/01/2019,2019.0,76721.0,1.0,2,3,8
19/01/2019,2019.0,103236.0,3.0,4,3,8
20/01/2019,2019.0,72296.0,1.0,22,1,13
20/01/2019,2019.0,34286.0,5.0,11,1,21
21/01/2019,2019.0,117156.0,3.0,22,3,22
21/01/2019,2019.0,73639.0,3.0,13,3,16
21/01/2019,2019.0,60431.0,2.0,6,3,19
21/01/2019,2019.0,92363.0,4.0,12,1,1
21/01/2019,2019.0,45072.0,5.0,26,3,12
21/01/2019,2019.0,40916.0,4.0,6,3,5
22/01/2019,2019.0,77369.0,5.0,7,3,22
22/01/2019,2019.0,48946.0,1.0,26,3,18
23/01/2019,2019.0,51863.0,4.0,6,1,23
23/01/2019,2019.0,90064.0,3.0,21,3,12
24/01/2019,2019.0,90656.0,2.0,18,3,11
24/01/2019,2019.0,53545.0,5.0,13,3,15
24/01/2019,2019.0,54019.0,2.0,14,3,2
25/01/2019,2019.0,86625.0,5.0,9,1,12
26/01/2019,2019.0,81701.0,3.0,5,3,18
27/01/2019,2019.0,57386.0,3.0,9,3,20
28/01/2019,2019.0,105769.0,3.0,7,1,7
28/01/2019,2019.0,47822.0,3.0,15,3,2
28/01/2019,2019.0,105462.0,3.0,9,3,20
28/01/2019,2019.0,70023.0,2.0,12,3,15
28/01/2019,2019.0,85878.0,1.0,10,3,11
29/01/2019,2019.0,77984.0,4.0,22,3,19
29/01/2019,2019.0,86577.0,2.0,5,3,16
29/01/2019,2019.0,106369.0,4.0,17,1,1
29/01/2019,2019.0,80929.0,1.0,15,1,20
30/01/2019,2019.0,57081.0,5.0,26,3,6
30/01/2019,2019.0,32751.0,1.0,16,1,4
31/01/2019,2019.0,70194.0,1.0,11,1,1
31/01/2019,2019.0,88479.0,5.0,14,1,2
31/01/2019,2019.0,56953.0,4.0,4,3,2
31/01/2019,2019.0,48642.0,3.0,15,3,6
31/01/2019,2019.0,81176.0,5.0,18,3,8
31/01/2019,2019.0,51863.0,5.0,20,3,17
31/01/2019,2019.0,48114.0,1.0,23,1,11
01/02/2019,2019.0,86843.0,5.0,18,1,3
01/02/2019,2019.0,72563.0,2.0,23,3,14
01/02/2019,2019.0,60373.0,3.0,4,3,15
01/02/2019,2019.0,108104.0,1.0,6,3,14
01/02/2019,2019.0,94746.0,4.0,17,3,9
01/02/2019,2019.0,116973.0,4.0,18,1,18
02/02/2019,2019.0,77470.0,4.0,3,3,20
02/02/2019,2019.0,75760.0,4.0,18,1,6
03/02/2019,2019.0,109449.0,4.0,16,3,2
03/02/2019,2019.0,73884.0,1.0,1,3,7
03/02/2019,2019.0,35565.0,2.0,5,3,15
03/02/2019,2019.0,116488.0,2.0,26,3,5
03/02/2019,2019.0,107554.0,4.0,19,3,8
04/02/2019,2019.0,51340.0,2.0,5,3,19
04/02/2019,2019.0,108651.0,3.0,16,3,23
05/02/2019,2019.0,61772.0,2.0,11,1,21
06/02/2019,2019.0,112888.0,5.0,4,1,16
06/02/2019,2019.0,88975.0,4.0,7,1,8
06/02/2019,2019.0,111344.0,5.0,23,3,11
07/02/2019,2019.0,36918.0,5.0,22,3,7
07/02/2019,2019.0,80711.0,4.0,16,1,20
07/02/2019,2019.0,60070.0,1.0,15,1,17
07/02/2019,2019.0,43366.0,2.0,4,3,18
08/02/2019,2019.0,39200.0,3.0,14,1,6
08/02/2019,2019.0,89151.0,1.0,10,1,8
08/02/2019,2019.0,53226.0,3.0,18,3,3
08/02/2019,2019.0,116891.0,4.0,18,3,10
08/02/2019,2019.0,90085.0,2.0,21,3,12
08/02/2019,2019.0,53486.0,1.0,11,1,15
09/02/2019,2019.0,34700.0,4.0,25,3,12
09/02/2019,2019.0,111863.0,1.0,11,1,9
09/02/2019,2019.0,37988.0,5.0,11,3,22
10/02/2019,2019.0,31634.0,2.0,7,3,5
10/02/2019,2019.0,94052.0,2.0,4,3,19
10/02/2019,2019.0,73352.0,4.0,22,3,15
11/02/2019,2019.0,90634.0,4.0,19,1,7
11/02/2019,2019.0,75939.0,4.0,20,3,3
11/02/2019,2019.0,95327.0,2.0,24,1,12
13/02/2019,2019.0,117498.0,5.0,17,1,23
13/02/2019,2019.0,100938.0,2.0,26,3,14
13/02/2019,2019.0,36900.0,4.0,24,3,16
14/02/2019,2019.0,49332.0,3.0,11,3,5
14/02/2019,2019.0,100672.0,5.0,15,3,6
15/02/2019,2019.0,101627.0,2.0,16,3,16
15/02/2019,2019.0,98203.0,3.0,7,1,20
15/02/2019,2019.0,118499.0,5.0,8,1,8
15/02/2019,2019.0,85943.0,2.0,9,3,8
16/02/2019,2019.0,36221.0,4.0,1,1,20
16/02/2019,2019.0,51788.0,2.0,10,3,16
16/02/2019,2019.0,59350.0,5.0,7,3,10
17/02/2019,2019.0,43264.0,4.0,7,3,4
17/02/2019,2019.0,60816.0,1.0,23,3,18
17/02/2019,2019.0,37426.0,3.0,14,3,23
18/02/2019,2019.0,44287.0,4.0,3,1,14
18/02/2019,2019.0,119622.0,4.0,7,3,7
18/02/2019,2019.0,78659.0,5.0,19,1,7
19/02/2019,2019.0,91852.0,5.0,19,3,4
19/02/2019,2019.0,42583.0,3.0,26,3,12
19/02/2019,2019.0,67455.0,5.0,24,3,15
19/02/2019,2019.0,102454.0,4.0,17,3,7
19/02/2019,2019.0,113401.0,3.0,18,3,13
20/02/2019,2019.0,63314.0,3.0,24,3,22
20/02/2019,2019.0,42134.0,2.0,24,1,15
20/02/2019,2019.0,67525.0,4.0,24,3,2
